Curve,a,b
BLUE CURVE,24.66584281110391,0.008312668708786866
AVERAGE CURVE,23.547395924976158,0.009802538552304077
GREEN CURVE,23.32329326797827,0.00926680486547336
ORANGE CURVE,19.47079877278094,0.016218012017930904
PURPLE CURVE,22.084877578708113,0.011903988371594459
PINK CURVE,17.577054662490195,0.02437971563146102
DARK ORANGE,21.31041426664798,0.014108481562348469
AQUA CURVE,20.74021055856686,0.011999703648731392
